Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1p0WZg4NXoNVGj2AuoLJe7,"熱情のスペクトラム","Chou Ikimonobakari Tennen Kinen Members Best Selection","Ikimonogakari",2006,223613,65,false,1rm8a4ytboch21x75yu5jotkz,2024-10-19T20:44:19Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.479,0.902,11,-2.665,0,0.0439,0.0593,0,0.394,0.748,159.975,4
spotify:track:0vgQEQxb49LCKEH5Gg7E4z,"ROB THE FRONTIER","UNSER","UVERworld",2019-12-04,232773,50,false,1rm8a4ytboch21x75yu5jotkz,2024-10-19T20:46:23Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.529,0.961,2,-2.921,0,0.06,0.0000826,0,0.277,0.582,110.004,4
spotify:track:6bPPyigCphBBQ9781j6eKM,"COLORS","FLOW THE BEST 〜Single Collection〜","FLOW",2006,218493,62,false,1rm8a4ytboch21x75yu5jotkz,2024-10-19T20:47:14Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.457,0.877,1,-4.229,1,0.0504,0.0353,0,0.106,0.387,136.03,4
spotify:track:4RMQc14Cq14LmPpKXtFDHx,"Ｏ2","PANIC FANCY","ORANGE RANGE",2008-07-09,237173,55,false,1rm8a4ytboch21x75yu5jotkz,2024-10-19T20:49:17Z,"j-pop,anime,j-rock","Sony Music Labels Inc.",0.508,0.946,9,-3.569,0,0.0849,0.00438,0,0.126,0.811,170.083,4
spotify:track:4wODMeGBAwLAmq0zSAb8Z3,"WORLD END","#5","FLOW",2009-01-28,226946,49,false,1rm8a4ytboch21x75yu5jotkz,2024-10-19T20:50:07Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.339,0.925,0,-3.64,1,0.0565,0.0000111,0,0.328,0.521,178.375,4
spotify:track:48sA84eSu3NA4iwGTARt6C,"ソングオブザデッド","ソングオブザデッド","KANA-BOON",2023-09-20,196440,42,false,1rm8a4ytboch21x75yu5jotkz,2025-01-26T20:55:25Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.429,0.973,2,-2.69,1,0.179,0.00298,0.000019,0.158,0.385,169.122,4
spotify:track:7C5NSfzNVC7QmgoR9bCtyv,"ハピネス オブ ザ デッド","ハピネス オブ ザ デッド","Shiyui",2023-08-09,173840,35,false,1rm8a4ytboch21x75yu5jotkz,2025-01-26T20:55:32Z,"anime,j-pop","Sony Music Labels Inc.",0.657,0.915,7,-3.364,1,0.0994,0.0275,0,0.356,0.695,116.015,4
spotify:track:4HRLkT2Hf30ToJhnUa11nU,"Hellsing - Logos Naki World - A World Without Logos - Main Theme","Hellsing - Logos Naki World - A World Without Logos - Main Theme","Geek Music",2018-10-02,246166,40,false,1rm8a4ytboch21x75yu5jotkz,2025-02-26T19:23:45Z,"anime","Geek Music",0.524,0.435,4,-13.384,0,0.0252,0.252,0.876,0.208,0.547,89.972,4
spotify:track:0P73BrE6JWgdX0TX0a3Lkz,"Ultimate Hellsing Alucard Theme","Ultimate Hellsing Alucard Theme","Konishi Kayo",2024-10-18,309786,0,false,1rm8a4ytboch21x75yu5jotkz,2025-02-26T19:28:56Z,"","Konishi Kayo",0.4,0.37,2,-9.509,1,0.0421,0.0675,0.91,0.077,0.774,159.665,3
spotify:track:2Ey9fkDU4zFViAn50PH1C7,"Alucard Theme The World Without Logos","Alucard Theme The World Without Logos","Konishi Kayo",2024-12-13,159477,0,false,1rm8a4ytboch21x75yu5jotkz,2025-02-26T19:31:01Z,"","Konishi Kayo",0.33,0.765,0,-7.64,1,0.0476,0.0125,0.834,0.594,0.423,95.907,4
